10 0.33
510 0.42
1010 0.19
1510 0.26
2010 0.33
2510 0.43
3010 0.52
3510 0.62
4010 0.72
4510 0.82
5010 0.89
5510 0.53
6010 0.56
6510 0.62
7010 0.64
7510 0.69
8010 0.75
8510 0.79
9010 0.83
9510 0.91
10010 0.93
10510 0.99
11010 1.10
11510 1.17
12010 1.14
12510 1.22
13010 1.27
13510 1.33
14010 1.36
14510 1.36
15010 1.35
15510 1.45
16010 1.44
16510 1.51
17010 1.59
17510 1.62
18010 1.66
18510 1.71
19010 1.75
19510 1.80
20010 1.84
20510 1.87
21010 2.19
21510 1.99
22010 2.05
22510 2.04
23010 2.07
23510 2.13
24010 2.25
24510 2.25
25010 2.34
25510 2.35
26010 2.43
26510 2.49
27010 2.56
27510 2.57
28010 2.62
28510 2.68
29010 2.74
29510 2.80
30010 2.83
30510 3.13
31010 2.85
31510 2.95
32010 3.12
32510 3.08
33010 3.01
33510 3.11
34010 3.27
34510 3.31
35010 3.37
35510 3.32
36010 3.52
36510 3.49
37010 3.54
37510 3.63
38010 3.60
38510 3.75
39010 3.78
39510 3.97
40010 3.84
40510 3.91
41010 3.84
41510 4.01
42010 4.06
42510 4.18
43010 4.11
43510 4.30
44010 4.20
44510 4.24
45010 4.38
45510 4.35
46010 4.41
46510 4.66
47010 4.62
47510 4.58
48010 4.94
48510 4.74
49010 4.81
49510 4.87
50010 4.85
50510 4.87
51010 5.06
51510 5.15
52010 5.10
52510 5.27
53010 5.13
53510 5.30
54010 5.37
54510 5.34
55010 5.50
55510 5.71
56010 5.52
56510 5.70
57010 5.64
57510 5.95
58010 5.73
58510 5.73
59010 5.95
59510 6.09
60010 6.15
60510 6.54
61010 6.33
61510 6.79
62010 6.35
62510 6.52
63010 6.41
63510 6.75
64010 6.50
64510 6.56
65010 6.44
65510 6.71
66010 6.48
66510 6.68
67010 7.13
67510 6.76
68010 6.83
68510 7.06
69010 6.92
69510 6.89
70010 7.35
70510 7.14
71010 7.18
71510 7.34
72010 7.25
72510 7.25
73010 7.59
73510 7.37
74010 7.42
74510 7.67
75010 7.53
75510 7.64
76010 7.87
76510 7.72
77010 7.68
77510 8.08
78010 7.80
78510 8.13
79010 8.09
79510 8.09
80010 8.29
80510 8.12
81010 8.31
81510 8.37
82010 8.40
82510 8.34
83010 8.50
83510 8.63
84010 8.48
84510 8.68
85010 8.69
85510 8.73
86010 8.91
86510 8.82
87010 8.96
87510 8.95
88010 9.08
88510 9.16
89010 9.27
89510 9.47
90010 9.52
90510 9.29
91010 9.43
91510 9.44
92010 9.43
92510 9.56
93010 9.83
93510 9.66
94010 9.65
94510 9.66
95010 9.67
95510 9.86
96010 9.99
96510 9.86
97010 9.91
97510 9.96
98010 9.87
98510 9.97
99010 10.16
99510 10.21
