10 0.03
510 2.29
1010 4.17
1510 6.31
2010 8.32
2510 10.24
3010 12.35
3510 14.36
4010 17.01
4510 19.22
5010 21.43
5510 23.76
6010 26.00
6510 28.36
7010 31.00
7510 33.63
8010 36.29
8510 38.68
9010 41.14
9510 46.23
10010 46.63
10510 48.89
11010 50.62
11510 53.79
12010 55.88
12510 58.91
13010 60.85
13510 65.21
14010 66.54
14510 68.60
15010 71.59
15510 74.01
16010 77.57
16510 80.00
17010 83.43
17510 86.34
18010 88.70
18510 90.19
19010 94.52
19510 96.32
20010 99.35
20510 101.81
21010 104.55
21510 107.10
22010 110.71
22510 112.91
23010 114.17
23510 118.82
24010 122.27
24510 124.82
25010 125.51
25510 128.17
26010 131.39
26510 134.15
27010 137.33
27510 140.32
28010 143.02
28510 144.67
29010 146.97
29510 150.32
30010 153.86
30510 156.74
31010 159.29
31510 161.57
32010 163.79
32510 166.54
33010 171.38
33510 172.76
34010 177.09
34510 180.01
35010 181.59
35510 184.50
36010 189.78
36510 190.79
37010 193.75
37510 196.59
38010 198.51
38510 202.24
39010 206.99
39510 210.85
40010 213.39
40510 214.27
41010 218.88
41510 220.62
42010 224.62
42510 225.19
43010 227.52
43510 232.96
44010 234.78
44510 237.49
45010 241.96
45510 243.41
46010 244.12
46510 248.47
47010 250.52
47510 256.35
48010 256.94
48510 263.25
49010 265.73
49510 267.22
